trip_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
0,E101,1,,Direction 0,UP65KT5041,0
1,E101,1,,Direction 0,UP32LT1406,0
2,E101,1,,Direction 0,UP65LT1409,0
3,E101,1,,Direction 0,UP32PN6056,0
4,E101,1,,Direction 0,UP65KT5041,0
5,E101,1,,Direction 0,UP32LT1406,0
6,E101,1,,Direction 0,UP65LT1409,0
7,E101,1,,Direction 0,UP32PN6056,0
8,E101,1,,Direction 1,UP65KT5041,1
9,E101,1,,Direction 1,UP32LT1406,1
10,E101,1,,Direction 1,UP65LT1409,1
11,E101,1,,Direction 1,UP32PN6056,1
12,E101,1,,Direction 1,UP65KT5041,1
13,E101,1,,Direction 1,UP32LT1406,1
14,E101,1,,Direction 1,UP65LT1409,1
15,E101,1,,Direction 1,UP32PN6056,1
16,E102,1,,Direction 0,UP65LT1393,2
17,E102,1,,Direction 0,UP32PN6687,2
18,E102,1,,Direction 0,UP65KT5046,2
19,E102,1,,Direction 0,UP32LT1799,2
20,E102,1,,Direction 0,UP65LT1398,2
21,E102,1,,Direction 0,UP32PN8716,2
22,E102,1,,Direction 0,UP65LT1393,2
23,E102,1,,Direction 0,UP32PN6687,2
24,E102,1,,Direction 0,UP65KT5046,2
25,E102,1,,Direction 0,UP32LT1799,2
26,E102,1,,Direction 0,UP65LT1398,2
27,E102,1,,Direction 0,UP32PN8716,2
28,E102,1,,Direction 1,UP65LT1393,3
29,E102,1,,Direction 1,UP32PN6687,3
30,E102,1,,Direction 1,UP65KT5046,3
31,E102,1,,Direction 1,UP32LT1799,3
32,E102,1,,Direction 1,UP65LT1398,3
33,E102,1,,Direction 1,UP32PN8716,3
34,E102,1,,Direction 1,UP65LT1393,3
35,E102,1,,Direction 1,UP32PN6687,3
36,E102,1,,Direction 1,UP65KT5046,3
37,E102,1,,Direction 1,UP32LT1799,3
38,E102,1,,Direction 1,UP65LT1398,3
39,E102,1,,Direction 1,UP32PN8716,3
40,E103,1,,Direction 0,UP65KT5045,4
41,E103,1,,Direction 0,UP32PN8723,4
42,E103,1,,Direction 0,UP65LT5043,4
43,E103,1,,Direction 0,UP65KT5045,4
44,E103,1,,Direction 0,UP32PN8723,4
45,E103,1,,Direction 0,UP65LT5043,4
46,E103,1,,Direction 1,UP65KT5045,5
47,E103,1,,Direction 1,UP32PN8723,5
48,E103,1,,Direction 1,UP65LT5043,5
49,E103,1,,Direction 1,UP65KT5045,5
50,E103,1,,Direction 1,UP32PN8723,5
51,E103,1,,Direction 1,UP65LT5043,5
52,E104,1,,Direction 0,UP65PN8725,6
53,E104,1,,Direction 0,UP65LT1408,6
54,E104,1,,Direction 0,UP65LT1405,6
55,E104,1,,Direction 0,UP65PN5822,6
56,E104,1,,Direction 0,UP65LT1390,6
57,E104,1,,Direction 0,UP65PN5826,6
58,E104,1,,Direction 0,UP32LT1797,6
59,E104,1,,Direction 0,UP65PN8725,6
60,E104,1,,Direction 0,UP65LT1408,6
61,E104,1,,Direction 0,UP65LT1405,6
62,E104,1,,Direction 0,UP65PN5822,6
63,E104,1,,Direction 0,UP65LT1390,6
64,E104,1,,Direction 0,UP65PN5826,6
65,E104,1,,Direction 0,UP32LT1797,6
66,E104,1,,Direction 1,UP65PN8725,7
67,E104,1,,Direction 1,UP65LT1408,7
68,E104,1,,Direction 1,UP65LT1405,7
69,E104,1,,Direction 1,UP65PN5822,7
70,E104,1,,Direction 1,UP65LT1390,7
71,E104,1,,Direction 1,UP65PN5826,7
72,E104,1,,Direction 1,UP32LT1797,7
73,E104,1,,Direction 1,UP65PN8725,7
74,E104,1,,Direction 1,UP65LT1408,7
75,E104,1,,Direction 1,UP65LT1405,7
76,E104,1,,Direction 1,UP65PN5822,7
77,E104,1,,Direction 1,UP65LT1390,7
78,E104,1,,Direction 1,UP65PN5826,7
79,E104,1,,Direction 1,UP32LT1797,7
80,E105,1,,Direction 0,UP65LT1396,8
81,E105,1,,Direction 0,UP65KT5037,8
82,E105,1,,Direction 0,UP65PN8715,8
