"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",1,22
"2","107","ASAPUR","CANTT RLY
STATION",2,44
"3","107","ASAPUR","DURGA KUND",1,27
"4","107","ASAPUR","LANKA",4,132
"5","107","ASAPUR","POLICE LINE",1,17
"6","107","ASAPUR","SIGRA",1,22
"7","107","BHELUPUR","CANTT RLY
STATION",1,17
"8","107","BHELUPUR","LANKA",2,34
"9","107","CANTT RLY
STATION","ASAPUR",5,110
"10","107","CANTT RLY
STATION","BHELUPUR",1,17
"11","107","CANTT RLY
STATION","DURGA KUND",8,136
"12","107","CANTT RLY
STATION","LANKA",46,1012
"13","107","CANTT RLY
STATION","RATHYATRA",3,36
"14","107","CANTT RLY
STATION","RAVINDERPURI",2,34
"15","107","CANTT RLY
STATION","SARNATH MUSEAM",7,154
"16","107","DURGA KUND","CANTT RLY
STATION",5,85
"17","107","DURGA KUND","PAHARIYA",2,54
"18","107","HAVELIYA
CHAURAHA","CANTT RLY STATION",1,22
"19","107","HAVELIYA
CHAURAHA","LANKA",2,66
"20","107","HAVELIYA
CHAURAHA","PAHARIYA",1,17
"21","107","HAVELIYA
CHAURAHA","POLICE LINE",2,34
"22","107","KHAJURI","CANTT RLY
STATION",1,12
"23","107","KHAJURI","LANKA",1,22
"24","107","LANKA","ASAPUR",2,66
"25","107","LANKA","CANTT RLY
STATION",19,418
"26","107","LANKA","PAHARIYA",1,27
"27","107","LANKA","PANDEYPUR",2,54
"28","107","LANKA","POLICE LINE",1,27
"29","107","LANKA","SARNATH MUSEAM",2,66
"30","107","LANKA","SIGRA",2,34
"31","107","PAHARIYA","CANTT RLY
STATION",3,51
"32","107","PAHARIYA","LANKA",1,27
"33","107","PANDEYPUR","CANTT RLY
STATION",1,17
"34","107","PANDEYPUR","LANKA",3,81
"35","107","PANDEYPUR","SARNATH MUSEAM",1,17
"36","107","PANDEYPUR","SIGRA",1,17
"37","107","POLICE LINE","ASAPUR",1,17
"38","107","PURANA RTO","CANTT RLY
STATION",1,22
"39","107","PURANA RTO","LANKA",1,33
"40","107","RATHYATRA","CANTT RLY
STATION",1,12
"41","107","RATHYATRA","LANKA",4,68
"42","107","RAVIDAS GATE","SARNATH MUSEAM",1,33
"43","107","RAVIDAS GATE","SIGRA",1,17
"44","107","RAVINDERPURI","LANKA",1,12
"45","107","SARNATH MUSEAM","CANTT RLY
STATION",14,308
"46","107","SARNATH MUSEAM","LANKA",21,693
"47","107","SARNATH
MUSEAM","CANTT RLY
STATION",2,44
"48","107","SARNATH
MUSEAM","LANKA",7,231
"49","107","SIGRA","LANKA",15,255
"50","107","VIDYAPEETH","DURGA KUND",3,51
"51","107(B)2","BHELUPUR","LANKA",1,17
"52","107(B)2","BHULLANPUR","CANTT RLY
STATION",2,44
"53","107(B)2","BOULIA","JAGATPUR",1,22
"54","107(B)2","BOULIA","MIRZAMURAD
BAZAR",1,38
"55","107(B)2","BOULIA","RAJATALAB",2,54
"56","107(B)2","CANTT RLY STATION","BHULLANPUR",2,44
"57","107(B)2","CANTT RLY STATION","CHANDPUR
CHAURAHA",1,17
"58","107(B)2","CANTT RLY STATION","JAGATPUR",1,22
"59","107(B)2","CANTT RLY STATION","MIRZAMURAD
BAZAR",3,129
"60","107(B)2","CANTT RLY STATION","MOHANSARAI",1,27
"61","107(B)2","CANTT RLY STATION","ROHANIA",1,22
"62","107(B)2","CANTT RLY
STATION","BHELUPUR",3,51
"63","107(B)2","CANTT RLY
STATION","BOULIA",3,36
"64","107(B)2","CANTT RLY
STATION","CHANDPUR
CHAURAHA",2,34
"65","107(B)2","CANTT RLY
STATION","DURGA KUND",3,51
"66","107(B)2","CANTT RLY
STATION","JAGATPUR",3,66
"67","107(B)2","CANTT RLY
STATION","KIT",9,342
"68","107(B)2","CANTT RLY
STATION","LANKA",36,792
"69","107(B)2","CANTT RLY
STATION","MIRZAMURAD
BAZAR",28,1204
"70","107(B)2","CANTT RLY
STATION","MODHAILA",3,51
"71","107(B)2","CANTT RLY
STATION","MOHANSARAI",18,486
"72","107(B)2","CANTT RLY
STATION","RAJATALAB",14,462
"73","107(B)2","CANTT RLY
STATION","RAVINDERPURI",4,68
"74","107(B)2","CANTT RLY
STATION","ROHANIA",8,176
"75","107(B)2","CANTT RLY
STATION","SADHU KI KUTIYA",2,76
"76","107(B)2","CANTT RLY
STATION","SIGRA",4,48
"77","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY
STATION",2,34
"78","107(B)2","CHANDPUR
CHAURAHA","MOHANSARAI",1,22
"79","107(B)2","CHANDPUR
CHAURAHA","ROHANIA",1,12
"80","107(B)2","DURGA KUND","CANTT RLY STATION",2,34
"81","107(B)2","DURGA KUND","CANTT RLY
STATION",5,85
"82","107(B)2","LAHARTARA","JAGATPUR",1,22
"83","107(B)2","LANKA","CANTT RLY STATION",45,990
"84","107(B)2","LANKA","CANTT RLY
STATION",65,1430
"85","107(B)2","LANKA","MOHANSARAI",1,38
"86","107(B)2","LANKA","RAJATALAB",2,86
"87","107(B)2","LANKA","RATHYATRA",1,17
"88","107(B)2","LANKA","RAVINDERPURI",1,12
"89","107(B)2","LANKA","SIGRA",12,204
"90","107(B)2","LANKA","VIDYAPEETH",2,44
"91","107(B)2","MIRZAMURAD
BAZAR","CANTT RLY STATION",6,258
"92","107(B)2","MIRZAMURAD
BAZAR","CANTT RLY
STATION",2,86
"93","107(B)2","MIRZAMURAD
BAZAR","LANKA",2,96
"94","107(B)2","MODHAILA","MIRZAMURAD
BAZAR",2,66
"95","107(B)2","MODHAILA","RAJATALAB",1,27
"96","107(B)2","MODHAILA","SAHABABAD",1,17
"97","107(B)2","MOHANSARAI","CANTT RLY STATION",4,108
"98","107(B)2","MOHANSARAI","CANTT RLY
STATION",4,108
"99","107(B)2","RAJATALAB","CANTT RLY
STATION",3,99
"100","107(B)2","RATHYATRA","CANTT RLY
STATION",2,24
"101","107(B)2","RATHYATRA","LANKA",2,34
"102","107(B)2","RAVINDERPURI","CANTT RLY STATION",3,51
"103","107(B)2","RAVINDERPURI","CANTT RLY
STATION",2,34
"104","107(B)2","RAVINDERPURI","SIGRA",1,12
"105","107(B)2","ROHANIA","CANTT RLY STATION",1,22
"106","107(B)2","ROHANIA","MIRZAMURAD
BAZAR",1,33
"107","107(B)2","ROHANIA","MOHANSARAI",1,17
"108","107(B)2","ROHANIA","SADHU KI KUTIYA",1,27
"109","107(B)2","SADHU KI KUTIYA","BOULIA",2,66
"110","107(B)2","SADHU KI KUTIYA","CANTT RLY STATION",2,76
"111","107(B)2","SADHU KI KUTIYA","CANTT RLY
STATION",1,38
