Route Number,From,To,PRS,FROM_LAT,FROM_LON,TO_LAT,TO_LON
1,Cantt Railway Station,Girja Ghar Chauraha,19598,82.98550815,25.32701271,83.0054279,25.30952
1,Girja Ghar Chauraha,Cantt Railway Station,44796,83.0054279,25.30952,82.98550815,25.32701271
1,Cantt Railway Station,Rathyatra Crossing,1900,82.98550815,25.32701271,82.9916492,25.3070903
1,Rathyatra Crossing,Cantt Railway Station,1476,82.9916492,25.3070903,82.98550815,25.32701271
1,Girja Ghar Chauraha,Sajan Choraha,5755,83.0054279,25.30952,82.9894074,25.3119974
1,Sajan Choraha,Girja Ghar Chauraha,5249,82.9894074,25.3119974,83.0054279,25.30952
1,Girja Ghar Chauraha,Rathyatra Crossing,7247,83.0054279,25.30952,82.9916492,25.3070903
1,Rathyatra Crossing,Sajan Choraha,175,82.9916492,25.3070903,82.9894074,25.3119974
1,Sajan Choraha,Cantt Railway Station,52,82.9894074,25.3119974,82.98550815,25.32701271
1,Cantt Railway Station,Sajan Choraha,0,82.98550815,25.32701271,82.9894074,25.3119974
1,Sajan Choraha,Rathyatra Crossing,477,82.9894074,25.3119974,82.9916492,25.3070903
1,Rathyatra Crossing,Girja Ghar Chauraha,16222,82.9916492,25.3070903,83.0054279,25.30952
